team,elo
Scotland,1748.9244280895377
England,1957.6981228948323
Wales,1694.090832224456
Northern Ireland,1623.751283527586
United States,1831.5405715193592
Canada,1806.2959829477718
Uruguay,1832.9385552754065
Argentina,2072.6113154810473
Austria,1848.315529278175
Hungary,1768.6739059647346
Czechoslovakia,1705.9549644644007
Belgium,1885.340984086694
France,2018.6156147799384
Switzerland,1868.1789581359355
Guernsey,1685.0337337837987
Alderney,1145.3017886008251
Jersey,1746.3303207348902
Netherlands,1938.90804982483
Guyana,1455.6836151835726
Trinidad and Tobago,1498.0969068266206
South Africa,1663.40539583699
Germany,1943.9356917156356
Sweden,1762.441389548924
Norway,1864.2462165095237
Denmark,1860.7472566757779
Italy,1899.7078463463017
Chile,1747.4996332723053
Russia,1794.690199425032
Finland,1571.5730018076617
Luxembourg,1486.7360703616655
Catalonia,1706.4230010826616
Philippines,1375.9924673560072
China,1549.6276926131316
Brazil,1962.5720289797123
Basque Country,1792.8319467367664
Japan,1918.7191678498461
Paraguay,1805.3361704917304
Romania,1662.3027759183246
Greece,1739.6557674309768
Yugoslavia,1732.2496325482075
Spain,2053.0274107147447
Egypt,1774.9669170750853
Estonia,1465.8338428669235
Suriname,1534.9902520187622
Provence,1447.7526335424852
Costa Rica,1660.995856595656
El Salvador,1474.0303888212231
Guatemala,1576.556851928606
Poland,1760.2563454676601
Portugal,1958.9314015093391
Brittany,1528.991592856346
New Zealand,1618.3734248333194
Australia,1805.860653373249
Latvia,1371.3634707531382
Galicia,1554.6373991487444
Central Spain,1501.3702570681064
Mexico,1913.6045599775466
Andalusia,1630.6905077780802
Asturias,1517.4358728782763
Lithuania,1368.557378863552
Turkey,1855.1360973869637
Aruba,1241.8246555774558
Curaçao,1523.7837809887799
Bulgaria,1529.9190620387385
Republic of Ireland,1721.4227243153493
Haiti,1586.0143315521589
Jamaica,1609.7227125037962
Kenya,1472.7389412458367
Uganda,1491.081929486046
Bolivia,1628.3698336514512
Peru,1694.9007895902978
Honduras,1621.6739050491087
Belarus,1569.4503604087165
Ukraine,1777.9027230822664
Barbados,1197.963243933567
Nicaragua,1461.443650346582
Cuba,1396.3198081711732
Martinique,1445.3387394479316
Dominica,1224.9124886320833
Silesia,1515.6415854199356
Guadeloupe,1492.5358972770669
Israel,1645.4489872687066
Indonesia,1514.416341324892
French Guiana,1403.6358109680507
Saint Lucia,1293.0109384861692
Colombia,1951.374812807522
Panama,1691.0036982434106
Venezuela,1746.7379227961271
Ecuador,1886.8374989054296
Saint Kitts and Nevis,1331.4641243983078
Grenada,1318.7961343003537
India,1301.8692737797796
Slovakia,1690.9175250118096
Manchukuo,1451.8406413040454
Croatia,1893.8799401698818
Lebanon,1429.4255320455713
Puerto Rico,1371.2850941937031
Afghanistan,1205.8284331333539
Iran,1820.1463844594018
Mongolia,1089.4044305636473
Tanzania,1395.2977370041442
Zimbabwe,1452.3858199887356
Zambia,1511.677948305749
Iceland,1596.4138846807589
Albania,1617.3537379070533
Montenegro,1555.6833776793985
Madagascar,1482.9737622331018
Mauritius,1251.6548595145427
Réunion,1552.1684817206278
Zanzibar,1520.2246448118897
Djibouti,1130.6429756765465
Ethiopia,1412.773926474306
DR Congo,1701.0379427201556
South Korea,1802.150946860377
Vietnam,1530.6874611803855
Macau,980.5752213691562
Dominican Republic,1457.5725668611342
Cyprus,1428.90492544128
Sierra Leone,1429.832822029794
Nigeria,1761.680248248878
Syria,1529.2725645309147
Serbia,1749.8630462363471
Taiwan,1186.5057085461556
Ghana,1598.8047129343001
Myanmar,1223.860318766997
New Caledonia,1533.6043427615616
Vanuatu,1454.7100528526496
Fiji,1425.1207455401143
Pakistan,1151.0345736422141
Sri Lanka,1113.0237965723825
German DR,1699.7814111663868
Tahiti,1506.576761510303
Gambia,1494.5764269713368
Hong Kong,1347.8875292229736
Singapore,1354.8469803874048
Malaysia,1532.162108121997
Guinea-Bissau,1371.1215682892393
Saarland,1449.7543488905098
Burundi,1397.9715034536232
Cameroon,1664.050342641759
Kernow,1604.7583929831085
Cambodia,1172.525740216026
Thailand,1546.0781210195503
Vietnam Republic,1416.420276862565
Kyrgyzstan,1455.3884187258172
Moldova,1371.5532193738204
North Vietnam,1463.0009278599161
Togo,1488.598257165502
North Korea,1486.8895009131816
Sudan,1450.3395909927337
Malta,1421.7411964548317
Tunisia,1658.9251449364074
Libya,1528.0623599077992
Malawi,1410.2111646947578
Morocco,1930.1675534296182
Benin,1501.85773899837
Cape Verde,1641.356942570091
Ivory Coast,1790.5489184949458
Burkina Faso,1614.5161215581188
Gabon,1516.381289172998
Congo,1352.7846839501135
Mali,1648.0039771179029
Central African Republic,1368.1831659368852
Iraq,1677.5127402315893
Saint Vincent and the Grenadines,1383.4879112279118
Senegal,1808.827623308271
Laos,1067.793851866901
Mauritania,1465.456450673988
Liberia,1396.4530132105326
Chad,1278.9165722040143
Niger,1434.2330448522976
Guinea,1512.9569228692433
Algeria,1837.0217766476524
Kuwait,1494.6476931725583
Jordan,1660.2927510164134
Papua New Guinea,1467.5885172039734
Solomon Islands,1387.6297895387934
Somalia,1121.5139437804944
Saudi Arabia,1667.5810803511142
Bermuda,1378.6908804286918
Palestine,1522.2282521171153
Yemen,1315.3266015327642
Bahrain,1517.5114946554593
Oman,1580.941046132386
Wallis Islands and Futuna,1346.2428499200666
Corsica,1577.1644292790688
Western Australia,1409.9502363879878
Eswatini,1325.426258817857
Botswana,1423.2861886454034
Qatar,1567.045902870134
Lesotho,1387.1008475447659
Bahamas,1104.4808161436715
Brunei,1036.1988250437646
Cook Islands,1254.2838602653324
Yemen DPR,1401.3348389969326
United Arab Emirates,1639.516370301781
Faroe Islands,1435.443660699867
Nepal,1193.2740330363724
Antigua and Barbuda,1222.177579767073
Bangladesh,1219.0878104844362
Seychelles,1082.084198136859
Equatorial Guinea,1443.017803113828
Mozambique,1465.3038087404593
Guam,1085.9331535284348
Angola,1559.2841075095243
São Tomé and Príncipe,1215.537645867019
Rwanda,1467.2384582467978
Northern Cyprus,1632.038020897279
Armenia,1451.2031065335025
Georgia,1671.113489411196
Azerbaijan,1429.039608153227
Kazakhstan,1488.3829661949542
Comoros,1475.4487143567023
Maldives,1099.1918518213904
Tonga,1189.2593707320218
Kiribati,1360.9750274847527
Tuvalu,1304.71706326292
Samoa,1316.0600409475403
Greenland,1447.8740061665842
Liechtenstein,1104.8420325901689
Bhutan,966.760178082623
South Yemen,1473.5017504540153
Niue,1475.0644396543646
American Samoa,1108.9603918702126
Belize,1322.631135360063
Cayman Islands,1165.8668234766717
Anguilla,1048.792533728929
British Virgin Islands,1137.790179255692
Palau,1455.8342387262962
Sint Maarten,1336.1586856189326
Namibia,1406.3873604629764
Ynys Môn,1655.3983169024343
Shetland,1479.6273815833317
Åland Islands,1483.917810546575
Saint Martin,1295.374160139734
San Marino,1016.7655271923433
Montserrat,1290.084929654434
Slovenia,1716.7192641206361
Isle of Wight,1624.827284037367
Turkmenistan,1395.0611087515672
Tajikistan,1442.9260906637403
Uzbekistan,1718.1533804365088
Eritrea,1245.4323761164167
Isle of Man,1648.5181240328466
Gibraltar,1254.577747545866
North Macedonia,1605.474315650244
Czech Republic,1747.2590059402205
Bosnia and Herzegovina,1647.9420633626692
Canary Islands,1522.5963944199443
Andorra,1211.515635123039
Hitra,1384.5133860763626
Frøya,1270.7095625997151
United States Virgin Islands,1113.0196507364444
Northern Mariana Islands,1137.828351611089
Turks and Caicos Islands,1190.672146849054
Micronesia,1412.6524393852085
Gotland,1433.8518142329256
Saare County,1359.7304666337143
Rhodes,1576.5316111817465
Monaco,1463.7506370520457
Western Sahara,1449.7306776275057
Tibet,1309.721435790835
Orkney,1429.4916093552172
Falkland Islands,1290.7009960860341
Mayotte,1430.3966674351232
Vatican City,1414.8931873305921
Timor-Leste,992.8837415665457
Sark,1437.597385739285
Sealand,1494.2278882349735
Occitania,1636.8895488470002
Chechnya,1469.5608208972506
Ambazonia,1425.0115948200717
Western Isles,1450.2669905710507
Kosovo,1699.8099338432894
Republic of St. Pauli,1478.7865823374825
Crimea,1507.2899835218009
Găgăuzia,1453.571732087941
Sápmi,1460.0827985992867
Romani people,1466.0529030435707
Menorca,1523.9995892552165
Iraqi Kurdistan,1597.1818392985194
Padania,1627.8136359177943
Arameans Suryoye,1536.8359161553194
Gozo,1477.9685597415876
Two Sicilies,1442.448346651112
Saint Barthélemy,1417.7085918657256
Saint Pierre and Miquelon,1393.0566755500074
Bonaire,1230.4409854257199
Chagos Islands,1386.1353172317013
Raetia,1412.2282347840498
Cilento,1484.99007824557
Kurdistan,1549.5698853155984
Darfur,1401.507023604145
Tamil Eelam,1553.745093254537
South Sudan,1295.3009707148803
Abkhazia,1598.463169760422
Artsakh,1550.2936858389862
Madrid,1489.3167592960426
Quebec,1508.5478926219375
Saugeais,1497.8785538881316
South Ossetia,1479.309625243062
Ellan Vannin,1555.3971020475356
Somaliland,1482.9851080675091
Franconia,1503.9191353808653
County of Nice,1572.6752182028556
Seborga,1482.9505365331318
Székely Land,1473.4307241041458
Luhansk PR,1484.7031706641303
Donetsk PR,1509.0601556826448
Felvidék,1506.1153538127114
Panjab,1531.6293826085514
United Koreans in Japan,1496.036165166508
Western Armenia,1484.4720520893277
Kárpátalja,1570.0855235162492
Délvidék,1496.0879277448062
Barawa,1428.370235256128
Ryūkyū,1483.6329999428713
Yorkshire,1558.674960824455
Surrey,1514.4153571891004
Matabeleland,1499.526408784676
Cascadia,1530.1814120777422
Kabylia,1470.7897564920636
Parishes of Jersey,1514.34180465481
Chameria,1516.5061253517733
Saint Helena,1391.9806070570285
West Papua,1478.740700586934
East Turkestan,1477.75544219204
Elba Island,1522.739735234208
Yoruba Nation,1483.275779665636
Biafra,1517.460822326669
Mapuche,1500.736306793522
Maule Sur,1530.4968829087939
Aymara,1468.766810297684
Ticino,1458.4245292792643
Hmong,1477.2684734129966
Marshall Islands,1443.1692929147243
